0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
SS50377_24305	fd755fe7cafa9cadc659c3634d08b7b4	287	SMART	SM00261	furin_3	193	238	52.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24608	de9ee00765fbbf681e7a179446e644f4	297	SMART	SM00261	furin_3	130	178	0.052	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24608	de9ee00765fbbf681e7a179446e644f4	297	SMART	SM00261	furin_3	191	236	4.1	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24608	de9ee00765fbbf681e7a179446e644f4	297	SMART	SM00261	furin_3	73	118	16.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24608	de9ee00765fbbf681e7a179446e644f4	297	SUPERFAMILY	SSF57184	Growth factor receptor domain	112	243	8.29E-8	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_24619	1fc10d4851555d9cd21695ea44843bb4	296	SUPERFAMILY	SSF57184	Growth factor receptor domain	30	144	6.67E-9	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_24619	1fc10d4851555d9cd21695ea44843bb4	296	Gene3D	G3DSA:2.10.220.10	Hormone Receptor	68	190	6.9E-6	T	09-11-2021				
SS50377_24619	1fc10d4851555d9cd21695ea44843bb4	296	SUPERFAMILY	SSF57184	Growth factor receptor domain	118	243	1.21E-6	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_24619	1fc10d4851555d9cd21695ea44843bb4	296	SMART	SM00261	furin_3	130	178	3.4	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24619	1fc10d4851555d9cd21695ea44843bb4	296	SMART	SM00261	furin_3	191	236	13.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24619	1fc10d4851555d9cd21695ea44843bb4	296	SMART	SM00261	furin_3	73	119	6.1	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24621	2b25129b9ae08b92defbfcd23b1cb391	328	SUPERFAMILY	SSF57184	Growth factor receptor domain	98	198	2.22E-6	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_24621	2b25129b9ae08b92defbfcd23b1cb391	328	SUPERFAMILY	SSF57184	Growth factor receptor domain	178	286	1.16E-7	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_24621	2b25129b9ae08b92defbfcd23b1cb391	328	SMART	SM00261	furin_3	118	164	0.74	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24621	2b25129b9ae08b92defbfcd23b1cb391	328	SMART	SM00261	furin_3	175	223	0.081	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24622	2b25129b9ae08b92defbfcd23b1cb391	328	SUPERFAMILY	SSF57184	Growth factor receptor domain	98	198	2.22E-6	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_24622	2b25129b9ae08b92defbfcd23b1cb391	328	SUPERFAMILY	SSF57184	Growth factor receptor domain	178	286	1.16E-7	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_24622	2b25129b9ae08b92defbfcd23b1cb391	328	SMART	SM00261	furin_3	118	164	0.74	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24622	2b25129b9ae08b92defbfcd23b1cb391	328	SMART	SM00261	furin_3	175	223	0.081	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24623	cc7b456cb001af0d49f96db28f555caf	290	SMART	SM00261	furin_3	130	177	23.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24623	cc7b456cb001af0d49f96db28f555caf	290	SMART	SM00261	furin_3	73	119	4.5	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24623	cc7b456cb001af0d49f96db28f555caf	290	SMART	SM00261	furin_3	191	236	15.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24623	cc7b456cb001af0d49f96db28f555caf	290	SUPERFAMILY	SSF57184	Growth factor receptor domain	13	125	1.15E-5	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_24649	ed8003c9e61cea90eabbffdb9c78f07e	289	SUPERFAMILY	SSF57184	Growth factor receptor domain	76	242	5.76E-6	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_24649	ed8003c9e61cea90eabbffdb9c78f07e	289	SUPERFAMILY	SSF57184	Growth factor receptor domain	6	122	4.71E-6	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_24649	ed8003c9e61cea90eabbffdb9c78f07e	289	SMART	SM00261	furin_3	130	175	3.2	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24649	ed8003c9e61cea90eabbffdb9c78f07e	289	SMART	SM00261	furin_3	73	124	0.29	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24649	ed8003c9e61cea90eabbffdb9c78f07e	289	SMART	SM00261	furin_3	199	248	26.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24649	ed8003c9e61cea90eabbffdb9c78f07e	289	Gene3D	G3DSA:2.10.220.10	Hormone Receptor	73	188	9.4E-6	T	09-11-2021				
SS50377_24651	f765171e278b18058ed7926804902687	292	SUPERFAMILY	SSF57184	Growth factor receptor domain	76	242	7.54E-9	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_24651	f765171e278b18058ed7926804902687	292	SUPERFAMILY	SSF57184	Growth factor receptor domain	6	127	2.14E-5	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_24668	ed8003c9e61cea90eabbffdb9c78f07e	289	SUPERFAMILY	SSF57184	Growth factor receptor domain	76	242	5.76E-6	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_24668	ed8003c9e61cea90eabbffdb9c78f07e	289	SUPERFAMILY	SSF57184	Growth factor receptor domain	6	122	4.71E-6	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_24668	ed8003c9e61cea90eabbffdb9c78f07e	289	SMART	SM00261	furin_3	130	175	3.2	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24668	ed8003c9e61cea90eabbffdb9c78f07e	289	SMART	SM00261	furin_3	73	124	0.29	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24668	ed8003c9e61cea90eabbffdb9c78f07e	289	SMART	SM00261	furin_3	199	248	26.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24668	ed8003c9e61cea90eabbffdb9c78f07e	289	Gene3D	G3DSA:2.10.220.10	Hormone Receptor	73	188	9.4E-6	T	09-11-2021				
SS50377_24787	10c6dfd21ddfcda447c5956669f588a3	293	SUPERFAMILY	SSF57184	Growth factor receptor domain	125	243	7.52E-5	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_24787	10c6dfd21ddfcda447c5956669f588a3	293	SUPERFAMILY	SSF57184	Growth factor receptor domain	7	135	1.46E-8	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_24787	10c6dfd21ddfcda447c5956669f588a3	293	SMART	SM00261	furin_3	131	180	47.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24787	10c6dfd21ddfcda447c5956669f588a3	293	SMART	SM00261	furin_3	73	119	0.0045	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24787	10c6dfd21ddfcda447c5956669f588a3	293	SMART	SM00261	furin_3	193	238	34.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24807	47bb0e6ca3486f7a45046d1515f44a65	293	SUPERFAMILY	SSF57184	Growth factor receptor domain	7	134	1.46E-8	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_24807	47bb0e6ca3486f7a45046d1515f44a65	293	SMART	SM00261	furin_3	73	119	0.0045	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24807	47bb0e6ca3486f7a45046d1515f44a65	293	SMART	SM00261	furin_3	131	180	65.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24807	47bb0e6ca3486f7a45046d1515f44a65	293	SMART	SM00261	furin_3	193	238	34.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_25200	507adde338ae30bc2ecddf5e47b60511	297	SMART	SM00261	furin_3	130	175	0.35	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_25200	507adde338ae30bc2ecddf5e47b60511	297	SMART	SM00261	furin_3	73	118	0.68	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_25200	507adde338ae30bc2ecddf5e47b60511	297	Gene3D	G3DSA:2.10.220.10	Hormone Receptor	68	167	1.4E-5	T	09-11-2021				
SS50377_25200	507adde338ae30bc2ecddf5e47b60511	297	SUPERFAMILY	SSF57184	Growth factor receptor domain	14	126	8.01E-7	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_25200	507adde338ae30bc2ecddf5e47b60511	297	SUPERFAMILY	SSF57184	Growth factor receptor domain	75	243	3.44E-14	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_25201	1ebb56a305fb31a946d4f33cf49f1071	827	SUPERFAMILY	SSF57184	Growth factor receptor domain	605	769	2.45E-9	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_25201	1ebb56a305fb31a946d4f33cf49f1071	827	SUPERFAMILY	SSF57184	Growth factor receptor domain	247	427	7.49E-10	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_25201	1ebb56a305fb31a946d4f33cf49f1071	827	SUPERFAMILY	SSF57184	Growth factor receptor domain	361	525	6.85E-11	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_25201	1ebb56a305fb31a946d4f33cf49f1071	827	SUPERFAMILY	SSF57184	Growth factor receptor domain	16	161	3.03E-6	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_25201	1ebb56a305fb31a946d4f33cf49f1071	827	SMART	SM00261	furin_3	169	216	0.054	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_25201	1ebb56a305fb31a946d4f33cf49f1071	827	SMART	SM00261	furin_3	659	706	5.2	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_25201	1ebb56a305fb31a946d4f33cf49f1071	827	SMART	SM00261	furin_3	112	163	2.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_25201	1ebb56a305fb31a946d4f33cf49f1071	827	SMART	SM00261	furin_3	602	647	5.8	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_25201	1ebb56a305fb31a946d4f33cf49f1071	827	SMART	SM00261	furin_3	413	457	6.7	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_25201	1ebb56a305fb31a946d4f33cf49f1071	827	SMART	SM00261	furin_3	481	549	12.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_25201	1ebb56a305fb31a946d4f33cf49f1071	827	SMART	SM00261	furin_3	719	764	8.8	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_25269	8a1dfe8ff9bbe4f35abb89b859931c01	304	SUPERFAMILY	SSF57184	Growth factor receptor domain	97	213	7.66E-6	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_25770	87c508fba37568c41fa8106ad3be55f2	291	SUPERFAMILY	SSF57184	Growth factor receptor domain	6	128	1.92E-5	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_25770	87c508fba37568c41fa8106ad3be55f2	291	SUPERFAMILY	SSF57184	Growth factor receptor domain	78	249	1.08E-13	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_25770	87c508fba37568c41fa8106ad3be55f2	291	SMART	SM00261	furin_3	133	183	1.3	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_25770	87c508fba37568c41fa8106ad3be55f2	291	SMART	SM00261	furin_3	196	241	17.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_25770	87c508fba37568c41fa8106ad3be55f2	291	SMART	SM00261	furin_3	75	122	0.0042	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_25898	91898ff61dd7e4b16c8e0ca4197d47b6	294	SUPERFAMILY	SSF57184	Growth factor receptor domain	75	238	1.66E-8	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_25906	cbb176bae1837bbb3ace2ac47fc71f34	636	SUPERFAMILY	SSF57184	Growth factor receptor domain	462	577	4.19E-5	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_25906	cbb176bae1837bbb3ace2ac47fc71f34	636	SUPERFAMILY	SSF57184	Growth factor receptor domain	124	282	8.59E-8	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_25913	cbb176bae1837bbb3ace2ac47fc71f34	636	SUPERFAMILY	SSF57184	Growth factor receptor domain	462	577	4.19E-5	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_25913	cbb176bae1837bbb3ace2ac47fc71f34	636	SUPERFAMILY	SSF57184	Growth factor receptor domain	124	282	8.59E-8	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_25918	1bd8b6259f21b8ae5e500a0c7818d204	500	ProSiteProfiles	PS50050	TNFR/NGFR family cysteine-rich region domain profile.	64	118	9.017	T	09-11-2021	IPR001368	TNFR/NGFR cysteine-rich region	GO:0005515	
SS50377_25918	1bd8b6259f21b8ae5e500a0c7818d204	500	SUPERFAMILY	SSF57184	Growth factor receptor domain	29	191	6.36E-7	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_25919	4ce4e3f1c2e8baa42d29cba84dc8345b	707	SUPERFAMILY	SSF57184	Growth factor receptor domain	454	600	8.12E-8	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_25919	4ce4e3f1c2e8baa42d29cba84dc8345b	707	SUPERFAMILY	SSF57184	Growth factor receptor domain	130	310	1.07E-6	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_25919	4ce4e3f1c2e8baa42d29cba84dc8345b	707	Gene3D	G3DSA:2.10.220.10	Hormone Receptor	482	600	1.8E-5	T	09-11-2021				
SS50377_25919	4ce4e3f1c2e8baa42d29cba84dc8345b	707	SMART	SM00261	furin_3	50	98	15.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_25919	4ce4e3f1c2e8baa42d29cba84dc8345b	707	SMART	SM00261	furin_3	296	343	0.45	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_25919	4ce4e3f1c2e8baa42d29cba84dc8345b	707	SMART	SM00261	furin_3	542	590	3.9	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_25919	4ce4e3f1c2e8baa42d29cba84dc8345b	707	SMART	SM00261	furin_3	357	401	32.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_25927	81fd06d0b36f2cd772d26a35a422c427	707	SUPERFAMILY	SSF57184	Growth factor receptor domain	489	639	2.22E-7	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_25927	81fd06d0b36f2cd772d26a35a422c427	707	Gene3D	G3DSA:2.10.220.10	Hormone Receptor	481	603	1.4E-5	T	09-11-2021				
SS50377_25927	81fd06d0b36f2cd772d26a35a422c427	707	SUPERFAMILY	SSF57184	Growth factor receptor domain	145	310	3.49E-5	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_25927	81fd06d0b36f2cd772d26a35a422c427	707	SMART	SM00261	furin_3	50	98	15.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_25927	81fd06d0b36f2cd772d26a35a422c427	707	SMART	SM00261	furin_3	296	343	0.45	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_25927	81fd06d0b36f2cd772d26a35a422c427	707	SMART	SM00261	furin_3	357	401	32.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_25927	81fd06d0b36f2cd772d26a35a422c427	707	SMART	SM00261	furin_3	542	590	3.9	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_25928	f3e84010cca883fd0f3482caf1ab1ba2	500	ProSiteProfiles	PS50050	TNFR/NGFR family cysteine-rich region domain profile.	64	118	9.274	T	09-11-2021	IPR001368	TNFR/NGFR cysteine-rich region	GO:0005515	
SS50377_25928	f3e84010cca883fd0f3482caf1ab1ba2	500	SMART	SM00261	furin_3	130	178	17.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_25928	f3e84010cca883fd0f3482caf1ab1ba2	500	SMART	SM00261	furin_3	73	118	6.8	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_25928	f3e84010cca883fd0f3482caf1ab1ba2	500	SMART	SM00261	furin_3	191	266	61.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_25928	f3e84010cca883fd0f3482caf1ab1ba2	500	SMART	SM00261	furin_3	396	441	17.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_25928	f3e84010cca883fd0f3482caf1ab1ba2	500	SUPERFAMILY	SSF57184	Growth factor receptor domain	49	194	2.23E-7	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_26220	b288517158385fed33ba51fa103fcac3	590	SMART	SM00261	furin_3	199	267	3.2	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_26220	b288517158385fed33ba51fa103fcac3	590	SMART	SM00261	furin_3	433	480	0.084	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_26220	b288517158385fed33ba51fa103fcac3	590	SMART	SM00261	furin_3	130	178	4.4	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_26220	b288517158385fed33ba51fa103fcac3	590	SMART	SM00261	furin_3	493	538	4.7	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_26220	b288517158385fed33ba51fa103fcac3	590	SMART	SM00261	furin_3	376	422	2.2	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_26220	b288517158385fed33ba51fa103fcac3	590	SMART	SM00261	furin_3	320	365	0.013	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_26220	b288517158385fed33ba51fa103fcac3	590	SMART	SM00261	furin_3	73	124	7.4	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_26220	b288517158385fed33ba51fa103fcac3	590	Gene3D	G3DSA:2.10.220.10	Hormone Receptor	75	193	2.2E-6	T	09-11-2021				
SS50377_26220	b288517158385fed33ba51fa103fcac3	590	Gene3D	G3DSA:2.10.220.10	Hormone Receptor	325	430	2.7E-5	T	09-11-2021				
