id	desc
GCA61988.1	hypothetical protein KIPB_000403 [Kipferlia bialata]
GCA61989.1	hypothetical protein KIPB_000406 [Kipferlia bialata]
GCA61990.1	hypothetical protein KIPB_000413 [Kipferlia bialata]
GCA61991.1	hypothetical protein KIPB_000414 [Kipferlia bialata]
GCA61992.1	ribosomal protein L4/L1e [Kipferlia bialata]
GCA61993.1	hypothetical protein KIPB_000416 [Kipferlia bialata]
GCA61994.1	hypothetical protein KIPB_000417 [Kipferlia bialata]
GCA61995.1	hypothetical protein KIPB_000421 [Kipferlia bialata]
GCA61996.1	hypothetical protein KIPB_000430 [Kipferlia bialata]
GCA61997.1	hypothetical protein KIPB_000431 [Kipferlia bialata]
GCA61998.1	hypothetical protein KIPB_000434, partial [Kipferlia bialata]
GCA61999.1	hypothetical protein KIPB_000445, partial [Kipferlia bialata]
GCA62000.1	carbamate kinase [Kipferlia bialata]
GCA62001.1	hypothetical protein KIPB_000468 [Kipferlia bialata]
GCA62002.1	hypothetical protein KIPB_000469 [Kipferlia bialata]
GCA62003.1	hypothetical protein KIPB_000472 [Kipferlia bialata]
GCA62004.1	major facilitator superfamily protein [Kipferlia bialata]
GCA62005.1	hypothetical protein KIPB_000537 [Kipferlia bialata]
GCA62006.1	hypothetical protein KIPB_000539 [Kipferlia bialata]
GCA62007.1	hypothetical protein KIPB_000553, partial [Kipferlia bialata]
GCA62008.1	hypothetical protein KIPB_000579 [Kipferlia bialata]
GCA62009.1	vacuolar protein sorting-associated protein 35 [Kipferlia bialata]
GCA62010.1	hypothetical protein KIPB_000601 [Kipferlia bialata]
GCA62011.1	hypothetical protein KIPB_000608 [Kipferlia bialata]
GCA62012.1	hypothetical protein KIPB_000625 [Kipferlia bialata]
GCA62013.1	hypothetical protein KIPB_000638 [Kipferlia bialata]
GCA62014.1	hypothetical protein KIPB_000639 [Kipferlia bialata]
GCA62015.1	proline-tRNA ligase, class IIa, archaeal-type [Kipferlia bialata]
GCA62016.1	hypothetical protein KIPB_000647 [Kipferlia bialata]
GCA62017.1	ribosomal protein S5, eukaryotic/archaeal [Kipferlia bialata]
GCA62018.1	hypothetical protein KIPB_000660 [Kipferlia bialata]
GCA62019.1	hypothetical protein KIPB_000665 [Kipferlia bialata]
GCA62020.1	Snf7 family protein [Kipferlia bialata]
GCA62021.1	hypothetical protein KIPB_000689 [Kipferlia bialata]
GCA62022.1	hypothetical protein KIPB_000702 [Kipferlia bialata]
GCA62023.1	hypothetical protein KIPB_000705 [Kipferlia bialata]
GCA62024.1	hypothetical protein KIPB_000717 [Kipferlia bialata]
GCA62025.1	fumarate hydratase, class II [Kipferlia bialata]
GCA62026.1	DNA-directed RNA polymerase III subunit Rpc5 [Kipferlia bialata]
GCA62027.1	hypothetical protein KIPB_000739 [Kipferlia bialata]
GCA62028.1	hypothetical protein KIPB_000745 [Kipferlia bialata]
GCA62029.1	hypothetical protein KIPB_000750 [Kipferlia bialata]
GCA62030.1	hypothetical protein KIPB_000753, partial [Kipferlia bialata]
GCA62031.1	hypothetical protein KIPB_000762 [Kipferlia bialata]
GCA62032.1	hypothetical protein KIPB_000764 [Kipferlia bialata]
GCA62033.1	H/ACA ribonucleoprotein complex, subunit Nhp2, eukaryote [Kipferlia bialata]
GCA62034.1	hypothetical protein KIPB_000773 [Kipferlia bialata]
GCA62035.1	hypothetical protein KIPB_000776, partial [Kipferlia bialata]
GCA62036.1	hypothetical protein KIPB_000783, partial [Kipferlia bialata]
GCA62037.1	hypothetical protein KIPB_000785 [Kipferlia bialata]
GCA62038.1	hypothetical protein KIPB_000788 [Kipferlia bialata]
GCA62039.1	hypothetical protein KIPB_000800 [Kipferlia bialata]
GCA62040.1	hypothetical protein KIPB_000801 [Kipferlia bialata]
GCA62041.1	hypothetical protein KIPB_000810 [Kipferlia bialata]
GCA62042.1	hypothetical protein KIPB_000814 [Kipferlia bialata]
GCA62043.1	hypothetical protein KIPB_000815 [Kipferlia bialata]
GCA62044.1	hypothetical protein KIPB_000816 [Kipferlia bialata]
GCA62045.1	hypothetical protein KIPB_000823 [Kipferlia bialata]
GCA62046.1	ribosomal protein S4/S9, eukaryotic/archaeal [Kipferlia bialata]
GCA62047.1	hypothetical protein KIPB_000832 [Kipferlia bialata]
GCA62048.1	hypothetical protein KIPB_000836, partial [Kipferlia bialata]
GCA62049.1	hypothetical protein KIPB_000837, partial [Kipferlia bialata]
GCA62050.1	hypothetical protein KIPB_000840 [Kipferlia bialata]
GCA62051.1	hypothetical protein KIPB_000863, partial [Kipferlia bialata]
GCA62052.1	hypothetical protein KIPB_000880 [Kipferlia bialata]
GCA62053.1	hypothetical protein KIPB_000891 [Kipferlia bialata]
GCA62054.1	hypothetical protein KIPB_000899 [Kipferlia bialata]
GCA62055.1	hypothetical protein KIPB_000900, partial [Kipferlia bialata]
GCA62056.1	sybindin-like protein [Kipferlia bialata]
GCA62057.1	hypothetical protein KIPB_000920 [Kipferlia bialata]
GCA62058.1	hypothetical protein KIPB_000921 [Kipferlia bialata]
GCA62059.1	hypothetical protein KIPB_000923 [Kipferlia bialata]
GCA62060.1	hypothetical protein KIPB_000924 [Kipferlia bialata]
GCA62061.1	NSF attachment protein [Kipferlia bialata]
GCA62062.1	hypothetical protein KIPB_000935 [Kipferlia bialata]
GCA62063.1	hypothetical protein KIPB_000943, partial [Kipferlia bialata]
GCA62064.1	hypothetical protein KIPB_000962 [Kipferlia bialata]
GCA62065.1	hypothetical protein KIPB_000972 [Kipferlia bialata]
GCA62066.1	hypothetical protein KIPB_000979, partial [Kipferlia bialata]
GCA62067.1	hypothetical protein KIPB_000989 [Kipferlia bialata]
GCA62068.1	methylthiotransferase/radical SAM-type protein [Kipferlia bialata]
GCA62069.1	hypothetical protein KIPB_001001 [Kipferlia bialata]
GCA62070.1	hypothetical protein KIPB_001006 [Kipferlia bialata]
GCA62071.1	hypothetical protein KIPB_001010 [Kipferlia bialata]
GCA62072.1	hypothetical protein KIPB_001013 [Kipferlia bialata]
GCA62073.1	hypothetical protein KIPB_001016, partial [Kipferlia bialata]
GCA62074.1	hypothetical protein KIPB_001021 [Kipferlia bialata]
GCA62075.1	hypothetical protein KIPB_001024, partial [Kipferlia bialata]
GCA62076.1	hypothetical protein KIPB_001029, partial [Kipferlia bialata]
GCA62077.1	hypothetical protein KIPB_001034 [Kipferlia bialata]
GCA62078.1	hypothetical protein KIPB_001047 [Kipferlia bialata]
GCA62079.1	hypothetical protein KIPB_001071 [Kipferlia bialata]
GCA62080.1	hypothetical protein KIPB_001078 [Kipferlia bialata]
GCA62081.1	hypothetical protein KIPB_001081, partial [Kipferlia bialata]
GCA62082.1	hypothetical protein KIPB_001089, partial [Kipferlia bialata]
GCA62083.1	hypothetical protein KIPB_001100 [Kipferlia bialata]
GCA62084.1	hypothetical protein KIPB_001101 [Kipferlia bialata]
GCA62085.1	hypothetical protein KIPB_001129 [Kipferlia bialata]
GCA62086.1	hypothetical protein KIPB_001134, partial [Kipferlia bialata]
GCA62087.1	hypothetical protein KIPB_001135 [Kipferlia bialata]
GCA62088.1	hypothetical protein KIPB_001137 [Kipferlia bialata]
GCA62089.1	hypothetical protein KIPB_001144 [Kipferlia bialata]
GCA62090.1	hypothetical protein KIPB_001145 [Kipferlia bialata]
GCA62091.1	histone H3/CENP-A [Kipferlia bialata]
GCA62092.1	hypothetical protein KIPB_001152, partial [Kipferlia bialata]
GCA62093.1	hypothetical protein KIPB_001158 [Kipferlia bialata]
GCA62094.1	hypothetical protein KIPB_001159, partial [Kipferlia bialata]
GCA62095.1	hypothetical protein KIPB_001161 [Kipferlia bialata]
GCA62096.1	hypothetical protein KIPB_001168 [Kipferlia bialata]
GCA62097.1	hypothetical protein KIPB_001174 [Kipferlia bialata]
GCA62098.1	hypothetical protein KIPB_001189 [Kipferlia bialata]
GCA62099.1	hypothetical protein KIPB_001196 [Kipferlia bialata]
GCA62100.1	hypothetical protein KIPB_001202 [Kipferlia bialata]
GCA62101.1	hypothetical protein KIPB_001209 [Kipferlia bialata]
GCA62102.1	hypothetical protein KIPB_001217 [Kipferlia bialata]
GCA62103.1	hypothetical protein KIPB_001219, partial [Kipferlia bialata]
GCA62104.1	hypothetical protein KIPB_001234 [Kipferlia bialata]
GCA62105.1	hypothetical protein KIPB_001246 [Kipferlia bialata]
GCA62106.1	hypothetical protein KIPB_001251 [Kipferlia bialata]
GCA62107.1	hypothetical protein KIPB_001275, partial [Kipferlia bialata]
GCA62108.1	hypothetical protein KIPB_001279 [Kipferlia bialata]
GCA62109.1	hypothetical protein KIPB_001284 [Kipferlia bialata]
GCA62110.1	hypothetical protein KIPB_001297 [Kipferlia bialata]
GCA62111.1	DNA-directed RNA polymerase, subunit 2 [Kipferlia bialata]
GCA62112.1	hypothetical protein KIPB_001302, partial [Kipferlia bialata]
GCA62113.1	hypothetical protein KIPB_001316, partial [Kipferlia bialata]
GCA62114.1	hypothetical protein KIPB_001321 [Kipferlia bialata]
GCA62115.1	hypothetical protein KIPB_001329 [Kipferlia bialata]
GCA62116.1	hypothetical protein KIPB_001336, partial [Kipferlia bialata]
GCA62117.1	hypothetical protein KIPB_001342, partial [Kipferlia bialata]
GCA62118.1	hypothetical protein KIPB_001345 [Kipferlia bialata]
GCA62119.1	branched-chain amino acid aminotransferase II [Kipferlia bialata]
GCA62120.1	hypothetical protein KIPB_001365 [Kipferlia bialata]
GCA62121.1	hypothetical protein KIPB_001368 [Kipferlia bialata]
GCA62122.1	hypothetical protein KIPB_001369, partial [Kipferlia bialata]
GCA62123.1	ribosomal protein S24e [Kipferlia bialata]
GCA62124.1	hypothetical protein KIPB_001379 [Kipferlia bialata]
GCA62125.1	hypothetical protein KIPB_001381 [Kipferlia bialata]
GCA62126.1	hypothetical protein KIPB_001382, partial [Kipferlia bialata]
GCA62127.1	hypothetical protein KIPB_001383 [Kipferlia bialata]
GCA62128.1	hypothetical protein KIPB_001385 [Kipferlia bialata]
GCA62129.1	hypothetical protein KIPB_001387, partial [Kipferlia bialata]
GCA62130.1	protein of unknown function DUF3645 [Kipferlia bialata]
GCA62131.1	hypothetical protein KIPB_001440 [Kipferlia bialata]
GCA62132.1	hypothetical protein KIPB_001448, partial [Kipferlia bialata]
GCA62133.1	hypothetical protein KIPB_001461 [Kipferlia bialata]
GCA62134.1	hypothetical protein KIPB_001466 [Kipferlia bialata]
GCA62135.1	hypothetical protein KIPB_001471, partial [Kipferlia bialata]
GCA62136.1	hypothetical protein KIPB_001494, partial [Kipferlia bialata]
GCA62137.1	hypothetical protein KIPB_001501 [Kipferlia bialata]
GCA62138.1	eukaryotic translation initiation factor 3 subunit G [Kipferlia bialata]
GCA62139.1	hypothetical protein KIPB_001519, partial [Kipferlia bialata]
GCA62140.1	hypothetical protein KIPB_001531 [Kipferlia bialata]
GCA62141.1	hypothetical protein KIPB_001532 [Kipferlia bialata]
GCA62142.1	hypothetical protein KIPB_001535, partial [Kipferlia bialata]
GCA62143.1	hypothetical protein KIPB_001551 [Kipferlia bialata]
GCA62144.1	hypothetical protein KIPB_001578 [Kipferlia bialata]
GCA62145.1	hypothetical protein KIPB_001582 [Kipferlia bialata]
GCA62146.1	RuvB-like protein [Kipferlia bialata]
GCA62147.1	hypothetical protein KIPB_001593, partial [Kipferlia bialata]
GCA62148.1	hypothetical protein KIPB_001594 [Kipferlia bialata]
GCA62149.1	hypothetical protein KIPB_001597 [Kipferlia bialata]
GCA62150.1	hypothetical protein KIPB_001603 [Kipferlia bialata]
GCA62151.1	hypothetical protein KIPB_001605 [Kipferlia bialata]
GCA62152.1	hypothetical protein KIPB_001606 [Kipferlia bialata]
GCA62153.1	hypothetical protein KIPB_001608, partial [Kipferlia bialata]
GCA62154.1	hypothetical protein KIPB_001611 [Kipferlia bialata]
GCA62155.1	hypothetical protein KIPB_001616 [Kipferlia bialata]
GCA62156.1	clathrin, heavy chain [Kipferlia bialata]
GCA62157.1	hypothetical protein KIPB_001624 [Kipferlia bialata]
GCA62158.1	hypothetical protein KIPB_001633 [Kipferlia bialata]
GCA62159.1	hypothetical protein KIPB_001640 [Kipferlia bialata]
GCA62160.1	hypothetical protein KIPB_001644 [Kipferlia bialata]
GCA62161.1	hypothetical protein KIPB_001656 [Kipferlia bialata]
GCA62162.1	hypothetical protein KIPB_001658 [Kipferlia bialata]
GCA62163.1	hypothetical protein KIPB_001660 [Kipferlia bialata]
GCA62164.1	hypothetical protein KIPB_001667 [Kipferlia bialata]
GCA62165.1	hypothetical protein KIPB_001681 [Kipferlia bialata]
GCA62166.1	hypothetical protein KIPB_001683 [Kipferlia bialata]
GCA62167.1	probable nicotinate-nucleotide adenylyltransferase [Kipferlia bialata]
GCA62168.1	hypothetical protein KIPB_001696 [Kipferlia bialata]
GCA62169.1	hypothetical protein KIPB_001700, partial [Kipferlia bialata]
GCA62170.1	ribosomal protein L10e [Kipferlia bialata]
GCA62171.1	hypothetical protein KIPB_001716 [Kipferlia bialata]
GCA62172.1	hypothetical protein KIPB_001730 [Kipferlia bialata]
GCA62173.1	hypothetical protein KIPB_001731 [Kipferlia bialata]
GCA62174.1	hypothetical protein KIPB_001734 [Kipferlia bialata]
GCA62175.1	RNA (C5-cytosine) methyltransferase, NOP2 [Kipferlia bialata]
GCA62176.1	hypothetical protein KIPB_001746 [Kipferlia bialata]
GCA62177.1	hypothetical protein KIPB_001749 [Kipferlia bialata]
GCA62178.1	hypothetical protein KIPB_001759 [Kipferlia bialata]
GCA62179.1	hypothetical protein KIPB_001762, partial [Kipferlia bialata]
GCA62180.1	importin subunit alpha [Kipferlia bialata]
GCA62181.1	hypothetical protein KIPB_001772 [Kipferlia bialata]
GCA62182.1	hypothetical protein KIPB_001780 [Kipferlia bialata]
GCA62183.1	hypothetical protein KIPB_001782, partial [Kipferlia bialata]
GCA62184.1	hypothetical protein KIPB_001791 [Kipferlia bialata]
GCA62185.1	hypothetical protein KIPB_001815, partial [Kipferlia bialata]
GCA62186.1	hypothetical protein KIPB_001821 [Kipferlia bialata]
GCA62187.1	hypothetical protein KIPB_001823 [Kipferlia bialata]
GCA62188.1	hypothetical protein KIPB_001840 [Kipferlia bialata]
GCA62189.1	hypothetical protein KIPB_001841 [Kipferlia bialata]
GCA62190.1	hypothetical protein KIPB_001843, partial [Kipferlia bialata]
GCA62191.1	hypothetical protein KIPB_001859 [Kipferlia bialata]
GCA62192.1	hypothetical protein KIPB_001860 [Kipferlia bialata]
GCA62193.1	hypothetical protein KIPB_001865 [Kipferlia bialata]
GCA62194.1	hypothetical protein KIPB_001872 [Kipferlia bialata]
GCA62195.1	hypothetical protein KIPB_001877 [Kipferlia bialata]
GCA62196.1	hypothetical protein KIPB_001893, partial [Kipferlia bialata]
GCA62197.1	hypothetical protein KIPB_001915, partial [Kipferlia bialata]
GCA62198.1	hypothetical protein KIPB_001925 [Kipferlia bialata]
GCA62199.1	SUMO-conjugating enzyme Ubc9 [Kipferlia bialata]
GCA62200.1	hypothetical protein KIPB_001944 [Kipferlia bialata]
GCA62201.1	hypothetical protein KIPB_001945 [Kipferlia bialata]
GCA62202.1	hypothetical protein KIPB_001947, partial [Kipferlia bialata]
GCA62203.1	protein of unknown function DUF285, partial [Kipferlia bialata]
GCA62204.1	hypothetical protein KIPB_001961 [Kipferlia bialata]
GCA62205.1	ribosomal protein L15 [Kipferlia bialata]
GCA62206.1	hypothetical protein KIPB_001966 [Kipferlia bialata]
GCA62207.1	hypothetical protein KIPB_001976, partial [Kipferlia bialata]
GCA62208.1	hypothetical protein KIPB_001984 [Kipferlia bialata]
GCA62209.1	hypothetical protein KIPB_001996 [Kipferlia bialata]
GCA62210.1	hypothetical protein KIPB_001998, partial [Kipferlia bialata]
GCA62211.1	hypothetical protein KIPB_002007 [Kipferlia bialata]
GCA62212.1	hypothetical protein KIPB_002010, partial [Kipferlia bialata]
GCA62213.1	hypothetical protein KIPB_002018 [Kipferlia bialata]
GCA62214.1	hypothetical protein KIPB_002023, partial [Kipferlia bialata]
GCA62215.1	hypothetical protein KIPB_002056 [Kipferlia bialata]
GCA62216.1	hypothetical protein KIPB_002057 [Kipferlia bialata]
GCA62217.1	hypothetical protein KIPB_002058 [Kipferlia bialata]
GCA62218.1	hypothetical protein KIPB_002060, partial [Kipferlia bialata]
GCA62219.1	hypothetical protein KIPB_002062 [Kipferlia bialata]
GCA62220.1	hypothetical protein KIPB_002069 [Kipferlia bialata]
GCA62221.1	hypothetical protein KIPB_002093, partial [Kipferlia bialata]
GCA62222.1	protein of unknown function DUF422 [Kipferlia bialata]
GCA62223.1	hypothetical protein KIPB_002102 [Kipferlia bialata]
GCA62224.1	hypothetical protein KIPB_002106 [Kipferlia bialata]
GCA62225.1	hypothetical protein KIPB_002107, partial [Kipferlia bialata]
GCA62226.1	hypothetical protein KIPB_002119, partial [Kipferlia bialata]
GCA62227.1	hypothetical protein KIPB_002127, partial [Kipferlia bialata]
GCA62228.1	hypothetical protein KIPB_002131 [Kipferlia bialata]
GCA62229.1	hypothetical protein KIPB_002141 [Kipferlia bialata]
GCA62230.1	hypothetical protein KIPB_002147 [Kipferlia bialata]
GCA62231.1	hypothetical protein KIPB_002148 [Kipferlia bialata]
GCA62232.1	hypothetical protein KIPB_002162, partial [Kipferlia bialata]
GCA62233.1	hypothetical protein KIPB_002173, partial [Kipferlia bialata]
GCA62234.1	hypothetical protein KIPB_002179, partial [Kipferlia bialata]
GCA62235.1	hypothetical protein KIPB_002183, partial [Kipferlia bialata]
GCA62236.1	hypothetical protein KIPB_002188 [Kipferlia bialata]
GCA62237.1	hypothetical protein KIPB_002195, partial [Kipferlia bialata]
GCA62238.1	hypothetical protein KIPB_002197 [Kipferlia bialata]
GCA62239.1	hypothetical protein KIPB_002206, partial [Kipferlia bialata]
GCA62240.1	hypothetical protein KIPB_002215 [Kipferlia bialata]
GCA62241.1	hypertension-related calcium-regulated gene protein [Kipferlia bialata]
GCA62242.1	hypothetical protein KIPB_002226 [Kipferlia bialata]
GCA62243.1	hypothetical protein KIPB_002228, partial [Kipferlia bialata]
GCA62244.1	hypothetical protein KIPB_002232 [Kipferlia bialata]
GCA62245.1	hypothetical protein KIPB_002234 [Kipferlia bialata]
GCA62246.1	hypothetical protein KIPB_002237 [Kipferlia bialata]
GCA62247.1	hypothetical protein KIPB_002241 [Kipferlia bialata]
GCA62248.1	hypothetical protein KIPB_002269 [Kipferlia bialata]
GCA62249.1	hypothetical protein KIPB_002273 [Kipferlia bialata]
GCA62250.1	ribonucleoside-triphosphate reductase activating, anaerobic [Kipferlia bialata]
GCA62251.1	hypothetical protein KIPB_002283 [Kipferlia bialata]
GCA62252.1	ribosomal protein L5 [Kipferlia bialata]
GCA62253.1	hypothetical protein KIPB_002309 [Kipferlia bialata]
GCA62254.1	hypothetical protein KIPB_002323 [Kipferlia bialata]
GCA62255.1	ribosomal protein L5 eukaryotic/L18 archaeal [Kipferlia bialata]
GCA62256.1	hypothetical protein KIPB_002344 [Kipferlia bialata]
GCA62257.1	hypothetical protein KIPB_002346 [Kipferlia bialata]
GCA62258.1	hypothetical protein KIPB_002349 [Kipferlia bialata]
GCA62259.1	hypothetical protein KIPB_002363, partial [Kipferlia bialata]
GCA62260.1	hypothetical protein KIPB_002369, partial [Kipferlia bialata]
GCA62261.1	hypothetical protein KIPB_002380 [Kipferlia bialata]
GCA62262.1	hypothetical protein KIPB_002384, partial [Kipferlia bialata]
GCA62263.1	hypothetical protein KIPB_002389, partial [Kipferlia bialata]
GCA62264.1	hypothetical protein KIPB_002398 [Kipferlia bialata]
GCA62265.1	hypothetical protein KIPB_002400, partial [Kipferlia bialata]
GCA62266.1	hypothetical protein KIPB_002432 [Kipferlia bialata]
GCA62267.1	hypothetical protein KIPB_002438 [Kipferlia bialata]
GCA62268.1	hypothetical protein KIPB_002440, partial [Kipferlia bialata]
GCA62269.1	hypothetical protein KIPB_002448, partial [Kipferlia bialata]
GCA62270.1	hypothetical protein KIPB_002458 [Kipferlia bialata]
GCA62271.1	hypothetical protein KIPB_002475 [Kipferlia bialata]
GCA62272.1	hypothetical protein KIPB_002479, partial [Kipferlia bialata]
GCA62273.1	hypothetical protein KIPB_002482 [Kipferlia bialata]
GCA62274.1	hypothetical protein KIPB_002483 [Kipferlia bialata]
GCA62275.1	hypothetical protein KIPB_002486, partial [Kipferlia bialata]
GCA62276.1	hypothetical protein KIPB_002494 [Kipferlia bialata]
GCA62277.1	hypothetical protein KIPB_002503 [Kipferlia bialata]
GCA62278.1	hypothetical protein KIPB_002504 [Kipferlia bialata]
GCA62279.1	hypothetical protein KIPB_002507 [Kipferlia bialata]
GCA62280.1	hypothetical protein KIPB_002511 [Kipferlia bialata]
GCA62281.1	hypothetical protein KIPB_002525 [Kipferlia bialata]
GCA62282.1	hypothetical protein KIPB_002541, partial [Kipferlia bialata]
GCA62283.1	hypothetical protein KIPB_002545 [Kipferlia bialata]
GCA62284.1	hypothetical protein KIPB_002552, partial [Kipferlia bialata]
GCA62285.1	hypothetical protein KIPB_002568 [Kipferlia bialata]
GCA62286.1	hypothetical protein KIPB_002570 [Kipferlia bialata]
GCA62287.1	hypothetical protein KIPB_002571 [Kipferlia bialata]
GCA62288.1	hypothetical protein KIPB_002578 [Kipferlia bialata]
GCA62289.1	hypothetical protein KIPB_002580 [Kipferlia bialata]
GCA62290.1	hypothetical protein KIPB_002582 [Kipferlia bialata]
GCA62291.1	hypothetical protein KIPB_002587 [Kipferlia bialata]
GCA62292.1	hypothetical protein KIPB_002609, partial [Kipferlia bialata]
GCA62293.1	hypothetical protein KIPB_002615 [Kipferlia bialata]
GCA62294.1	hypothetical protein KIPB_002621 [Kipferlia bialata]
GCA62295.1	hypothetical protein KIPB_002633, partial [Kipferlia bialata]
GCA62296.1	ribose 5-phosphate isomerase, type A [Kipferlia bialata]
GCA62297.1	hypothetical protein KIPB_002641 [Kipferlia bialata]
GCA62298.1	hypothetical protein KIPB_002663, partial [Kipferlia bialata]
GCA62299.1	hypothetical protein KIPB_002664 [Kipferlia bialata]
GCA62300.1	hypothetical protein KIPB_002668 [Kipferlia bialata]
GCA62301.1	hypothetical protein KIPB_002672 [Kipferlia bialata]
GCA62302.1	hypothetical protein KIPB_002674, partial [Kipferlia bialata]
GCA62303.1	hypothetical protein KIPB_002675 [Kipferlia bialata]
GCA62304.1	hypothetical protein KIPB_002678, partial [Kipferlia bialata]
GCA62305.1	ribosomal protein S4/S9 [Kipferlia bialata]
GCA62306.1	hypothetical protein KIPB_002691 [Kipferlia bialata]
GCA62307.1	hypothetical protein KIPB_002706 [Kipferlia bialata]
GCA62308.1	hypothetical protein KIPB_002711 [Kipferlia bialata]
GCA62309.1	hypothetical protein KIPB_002713 [Kipferlia bialata]
GCA62310.1	hypothetical protein KIPB_002718 [Kipferlia bialata]
GCA62311.1	hypothetical protein KIPB_002726 [Kipferlia bialata]
GCA62312.1	ribosomal protein L2 [Kipferlia bialata]
GCA62313.1	hypothetical protein KIPB_002736 [Kipferlia bialata]
GCA62314.1	hypothetical protein KIPB_002738 [Kipferlia bialata]
GCA62315.1	hypothetical protein KIPB_002743 [Kipferlia bialata]
GCA62316.1	hypothetical protein KIPB_002751 [Kipferlia bialata]
GCA62317.1	hypothetical protein KIPB_002761 [Kipferlia bialata]
GCA62318.1	hypothetical protein KIPB_002776 [Kipferlia bialata]
GCA62319.1	hypothetical protein KIPB_002780 [Kipferlia bialata]
GCA62320.1	proteasome B-type subunit [Kipferlia bialata]
GCA62321.1	ribosomal protein S3, eukaryotic/archaeal [Kipferlia bialata]
GCA62322.1	hypothetical protein KIPB_002802 [Kipferlia bialata]
GCA62323.1	hypothetical protein KIPB_002809, partial [Kipferlia bialata]
GCA62324.1	hypothetical protein KIPB_002810 [Kipferlia bialata]
GCA62325.1	hypothetical protein KIPB_002813, partial [Kipferlia bialata]
GCA62326.1	hypothetical protein KIPB_002816 [Kipferlia bialata]
GCA62327.1	hypothetical protein KIPB_002819, partial [Kipferlia bialata]
GCA62328.1	hypothetical protein KIPB_002831 [Kipferlia bialata]
GCA62329.1	hypothetical protein KIPB_002842 [Kipferlia bialata]
GCA62330.1	hypothetical protein KIPB_002847 [Kipferlia bialata]
GCA62331.1	hypothetical protein KIPB_002852 [Kipferlia bialata]
GCA62332.1	hypothetical protein KIPB_002858 [Kipferlia bialata]
GCA62333.1	hypothetical protein KIPB_002862 [Kipferlia bialata]
GCA62334.1	hypothetical protein KIPB_002863 [Kipferlia bialata]
GCA62335.1	hypothetical protein KIPB_002866 [Kipferlia bialata]
GCA62336.1	hypothetical protein KIPB_002871 [Kipferlia bialata]
